date_bedtime,date_wake,broken_sleep_ind,bedtime,wake,nap_ind,rating,duration_mins,duration_hours,bedtime_hour,dist_from_6pm_mins,mins_from_8_hours,day_of_week,work_day
2019-10-25T04:00:00Z,2019-10-26T04:00:00Z,0,2019-10-26T04:35:00Z,2019-10-26T13:19:00Z,0,4.25,524,8.7,0,395,44,Fri,Fri-Sat
2019-10-26T04:00:00Z,2019-10-27T04:00:00Z,0,2019-10-27T06:52:00Z,2019-10-27T14:23:00Z,0,3.75,451,7.5,2,532,-29,Sat,Fri-Sat
2019-10-27T04:00:00Z,2019-10-28T04:00:00Z,0,2019-10-28T04:36:00Z,2019-10-28T12:42:00Z,0,4.25,486,8.1,0,396,6,Sun,Worknight
2019-10-28T04:00:00Z,2019-10-29T04:00:00Z,0,2019-10-29T02:54:00Z,2019-10-29T12:16:00Z,0,4.25,562,9.4,22,294,82,Mon,Worknight
2019-10-29T04:00:00Z,2019-10-30T04:00:00Z,0,2019-10-30T02:33:00Z,2019-10-30T12:40:00Z,0,4.25,607,10.1,22,273,127,Tue,Worknight
2019-10-30T04:00:00Z,2019-10-31T04:00:00Z,0,2019-10-31T04:51:00Z,2019-10-31T12:18:00Z,0,3.5,447,7.5,0,411,-33,Wed,Worknight
2019-10-31T04:00:00Z,2019-11-01T04:00:00Z,0,2019-11-01T05:10:00Z,2019-11-01T11:55:00Z,0,4.25,405,6.8,1,430,-75,Thu,Worknight
2019-11-01T04:00:00Z,2019-11-02T04:00:00Z,0,2019-11-02T04:25:00Z,2019-11-02T13:11:00Z,0,4.5,526,8.8,0,385,46,Fri,Fri-Sat
2019-11-02T04:00:00Z,2019-11-03T04:00:00Z,0,2019-11-03T07:21:00Z,2019-11-03T15:20:00Z,0,4.5,479,8,2,561,-1,Sat,Fri-Sat
2019-11-03T04:00:00Z,2019-11-04T05:00:00Z,0,2019-11-04T05:26:00Z,2019-11-04T13:13:00Z,0,4.25,467,7.8,0,386,-13,Sun,Worknight
2019-11-04T05:00:00Z,2019-11-05T05:00:00Z,0,2019-11-05T05:10:00Z,2019-11-05T12:55:00Z,0,3.75,465,7.8,0,370,-15,Mon,Worknight
2019-11-05T05:00:00Z,2019-11-06T05:00:00Z,0,2019-11-06T03:46:00Z,2019-11-06T12:56:00Z,0,4.25,550,9.2,22,286,70,Tue,Worknight
2019-11-06T05:00:00Z,2019-11-07T05:00:00Z,0,2019-11-07T04:11:00Z,2019-11-07T12:55:00Z,0,4.25,524,8.7,23,311,44,Wed,Worknight
2019-11-07T05:00:00Z,2019-11-08T05:00:00Z,0,2019-11-08T08:01:00Z,2019-11-08T13:59:00Z,0,3.5,358,6,3,541,-122,Thu,Worknight
2019-11-08T05:00:00Z,2019-11-09T05:00:00Z,0,2019-11-09T04:55:00Z,2019-11-09T13:24:00Z,0,4,509,8.5,23,355,29,Fri,Fri-Sat
2019-11-09T05:00:00Z,2019-11-10T05:00:00Z,0,2019-11-10T04:43:00Z,2019-11-10T13:18:00Z,0,4,515,8.6,23,343,35,Sat,Fri-Sat
2019-11-10T05:00:00Z,2019-11-11T05:00:00Z,0,2019-11-11T05:31:00Z,2019-11-11T14:09:00Z,0,4.5,518,8.6,0,391,38,Sun,Worknight
2019-11-11T05:00:00Z,2019-11-12T05:00:00Z,0,2019-11-12T02:49:00Z,2019-11-12T14:25:00Z,0,4.5,696,11.6,21,229,216,Mon,Worknight
2019-11-12T05:00:00Z,2019-11-13T05:00:00Z,0,2019-11-13T07:52:00Z,2019-11-13T13:31:00Z,0,3,339,5.7,2,532,-141,Tue,Worknight
2019-11-13T05:00:00Z,2019-11-14T05:00:00Z,0,2019-11-14T05:45:00Z,2019-11-14T12:55:00Z,0,4.25,430,7.2,0,405,-50,Wed,Worknight
2019-11-14T05:00:00Z,2019-11-15T05:00:00Z,0,2019-11-15T06:47:00Z,2019-11-15T12:29:00Z,0,4.5,342,5.7,1,467,-138,Thu,Worknight
2019-11-15T05:00:00Z,2019-11-16T05:00:00Z,0,2019-11-16T03:21:00Z,2019-11-16T12:52:00Z,0,4.5,571,9.5,22,261,91,Fri,Fri-Sat
2019-11-16T05:00:00Z,2019-11-17T05:00:00Z,0,2019-11-17T04:10:00Z,2019-11-17T13:17:00Z,0,4.5,547,9.1,23,310,67,Sat,Fri-Sat
2019-11-17T05:00:00Z,2019-11-18T05:00:00Z,0,2019-11-18T03:19:00Z,2019-11-18T12:55:00Z,0,4.25,576,9.6,22,259,96,Sun,Worknight
2019-11-18T05:00:00Z,2019-11-19T05:00:00Z,0,2019-11-19T03:21:00Z,2019-11-19T12:57:00Z,0,4.5,576,9.6,22,261,96,Mon,Worknight
2019-11-19T05:00:00Z,2019-11-20T05:00:00Z,0,2019-11-20T05:33:00Z,2019-11-20T13:30:00Z,0,4.25,477,8,0,393,-3,Tue,Worknight
2019-11-20T05:00:00Z,2019-11-21T05:00:00Z,0,2019-11-21T05:09:00Z,2019-11-21T13:00:00Z,0,4.5,471,7.8,0,369,-9,Wed,Worknight
2019-11-21T05:00:00Z,2019-11-22T05:00:00Z,0,2019-11-22T04:00:00Z,2019-11-22T07:52:00Z,0,2.5,232,3.9,23,300,-248,Thu,Worknight
2019-11-22T05:00:00Z,2019-11-23T05:00:00Z,0,2019-11-23T05:39:00Z,2019-11-23T15:44:00Z,0,4,605,10.1,0,399,125,Fri,Fri-Sat
2019-11-23T05:00:00Z,2019-11-24T05:00:00Z,0,2019-11-24T06:39:00Z,2019-11-24T14:51:00Z,0,3.75,492,8.2,1,459,12,Sat,Fri-Sat
2019-11-24T05:00:00Z,2019-11-25T05:00:00Z,0,2019-11-25T07:20:00Z,2019-11-25T14:00:00Z,0,3.25,400,6.7,2,500,-80,Sun,Worknight
2019-11-25T05:00:00Z,2019-11-26T05:00:00Z,0,2019-11-26T08:15:00Z,2019-11-26T14:11:00Z,0,4,356,5.9,3,555,-124,Mon,Worknight
2019-11-26T05:00:00Z,2019-11-27T05:00:00Z,0,2019-11-27T05:53:00Z,2019-11-27T13:49:00Z,0,4.25,476,7.9,0,413,-4,Tue,Worknight
2019-11-27T05:00:00Z,2019-11-28T05:00:00Z,0,2019-11-28T05:21:00Z,2019-11-28T15:18:00Z,0,4.5,597,9.9,0,381,117,Wed,Worknight
2019-11-28T05:00:00Z,2019-11-29T05:00:00Z,0,2019-11-29T08:37:00Z,2019-11-29T15:09:00Z,0,0,392,6.5,3,577,-88,Thu,Worknight
2019-11-29T05:00:00Z,2019-11-30T05:00:00Z,0,2019-11-30T06:34:00Z,2019-11-30T14:21:00Z,0,4.5,467,7.8,1,454,-13,Fri,Fri-Sat
2019-11-30T05:00:00Z,2019-12-01T05:00:00Z,0,2019-12-01T05:20:00Z,2019-12-01T16:00:00Z,0,3.75,640,10.7,0,380,160,Sat,Fri-Sat
2019-12-01T05:00:00Z,2019-12-02T05:00:00Z,0,2019-12-02T08:35:00Z,2019-12-02T14:11:00Z,0,3.25,336,5.6,3,575,-144,Sun,Worknight
2019-12-02T05:00:00Z,2019-12-03T05:00:00Z,0,2019-12-03T06:19:00Z,2019-12-03T13:46:00Z,0,3.5,447,7.5,1,439,-33,Mon,Worknight
2019-12-03T05:00:00Z,2019-12-04T05:00:00Z,0,2019-12-04T07:15:00Z,2019-12-04T14:36:00Z,0,3.5,441,7.3,2,495,-39,Tue,Worknight
2019-12-04T05:00:00Z,2019-12-05T05:00:00Z,0,2019-12-05T06:22:00Z,2019-12-05T13:00:00Z,0,4,398,6.6,1,442,-82,Wed,Worknight
2019-12-05T05:00:00Z,2019-12-06T05:00:00Z,0,2019-12-06T05:42:00Z,2019-12-06T13:35:00Z,0,4.5,473,7.9,0,402,-7,Thu,Worknight
2019-12-06T05:00:00Z,2019-12-07T05:00:00Z,0,2019-12-07T06:19:00Z,2019-12-07T13:57:00Z,0,4.25,458,7.6,1,439,-22,Fri,Fri-Sat
2019-12-07T05:00:00Z,2019-12-08T05:00:00Z,0,2019-12-08T05:55:00Z,2019-12-08T15:08:00Z,0,2.5,553,9.2,0,415,73,Sat,Fri-Sat
2019-12-08T05:00:00Z,2019-12-09T05:00:00Z,0,2019-12-09T04:28:00Z,2019-12-09T15:20:00Z,0,4.5,652,10.9,23,328,172,Sun,Worknight
2019-12-09T05:00:00Z,2019-12-10T05:00:00Z,0,2019-12-10T09:22:00Z,2019-12-10T14:46:00Z,0,2,324,5.4,4,622,-156,Mon,Worknight
2019-12-10T05:00:00Z,2019-12-11T05:00:00Z,0,2019-12-11T07:55:00Z,2019-12-11T15:39:00Z,0,3.5,464,7.7,2,535,-16,Tue,Worknight
2019-12-11T05:00:00Z,2019-12-12T05:00:00Z,0,2019-12-12T05:06:00Z,2019-12-12T12:57:00Z,0,3.5,471,7.8,0,366,-9,Wed,Worknight
2019-12-12T05:00:00Z,2019-12-13T05:00:00Z,0,2019-12-13T05:03:00Z,2019-12-13T14:20:00Z,0,3.75,557,9.3,0,363,77,Thu,Worknight
2019-12-13T05:00:00Z,2019-12-14T05:00:00Z,0,2019-12-14T05:41:00Z,2019-12-14T13:28:00Z,0,4.5,467,7.8,0,401,-13,Fri,Fri-Sat
2019-12-14T05:00:00Z,2019-12-15T05:00:00Z,0,2019-12-15T05:04:00Z,2019-12-15T15:29:00Z,0,4.5,625,10.4,0,364,145,Sat,Fri-Sat
2019-12-15T05:00:00Z,2019-12-16T05:00:00Z,0,2019-12-16T06:39:00Z,2019-12-16T13:11:00Z,0,3.5,392,6.5,1,459,-88,Sun,Worknight
2019-12-16T05:00:00Z,2019-12-17T05:00:00Z,0,2019-12-17T05:31:00Z,2019-12-17T13:11:00Z,0,4.25,460,7.7,0,391,-20,Mon,Worknight
2019-12-17T05:00:00Z,2019-12-18T05:00:00Z,0,2019-12-18T07:02:00Z,2019-12-18T14:28:00Z,0,3.5,446,7.4,2,482,-34,Tue,Worknight
